title,date,views,comment_count,time,comment
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"me : loves chicken rice
also me : stays in woodlands





""PAAA CAN WE GO KATONG TRY THE CHICKEN RICE PLSSS""
pa : nO"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Katong chicken rice. Good memories. After secondary school, chiong go Katong play LAN then eat chicken rice then go home"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Already know dee kosh gonna give 1 star for the chicken rice.  Whenever the food is really good he'll try to give that skeptical face
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Wah the son is hot lah that's for sure😂😂😂
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,OMG my fave chicken rice and its featured now I have to fight the crowd even more than usual
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,You all should have tried Dona Manis too!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Is pontianak that dee kosh mentioned same with kuntilanak in indonesia?
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Oh yeah FYI, the nonya restaurant that ryan is referring to is the Chilli Padi Nonya Restaurant @ Joo ChIat.  =)"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"OMG dose food looks so nice




FOODDDDDDDDDDDDDDDD KINGGGGGGGGGGGGGGG 
GOODDDDDDDDDDDDDD"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,Aiken flexin his tag heuer XD
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Thank you to everyone behind (and infront) Food King. It was an emotional and tough week for me, but this 16 min 29 sec break from reality made me smile. Thank you 😊"
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,I've been to that wanton noodle store! My grandma is scared of him as he shouts really loud
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,17 hours ago,Dee Kosh being like “can I play mobile legends” I be like wtf
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,BEST CHICKEN RICE IS DOVER CRESCENT BLOCK 5!!
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,My friend lives in the east
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,The uncle is the real MVP
Food King Singapore: The Best Chicken Rice in Singapore! (Finally allowed us to feature them!),"Oct 25, 2019","179,438 views",414 Comments,1 day ago,"Last Evolution? Charizard?

Me being a Pokemon fan i Am INSULTED (jk)

what about Mega charizard :<"
